,filename,accuracy
0,Covid (91).png,0.44576351090729865
1,Covid (139).png,0.9038387610522269
2,Covid (181).png,0.8820767195767196
3,Covid (29).png,0.08281477173596975
4,Covid (197).png,0.8035360976636498
5,Covid (178).png,0.9284684920738897
6,Covid (87).png,0.44950331125827814
7,Covid (68).png,0.8037857620715438
8,Covid (154).png,0.8268475544448411
9,Covid (13).png,0.5137117784176608
10,Covid (44).png,0.7761662093296746
11,Covid (3).png,0.40458197438549043
12,Covid (103).png,0.8534849736323782
13,Covid (115).png,0.8184875398810038
14,Covid (52).png,0.3675653620413672
15,Covid (142).png,0.901263908393648
16,Covid (135).png,0.934095452273863
17,Covid (72).png,0.8178473952770856
18,Covid (25).png,0.10375262683878715
19,Covid (162).png,0.43191833137485314
20,Covid (174).png,0.7820692473871664
21,Covid (33).png,0.7973850901413025
22,Covid (64).png,0.2819620163595709
23,Covid (123).png,0.35150832394542497
24,Covid (158).png,0.39164736821446794
25,Covid (48).png,0.7428022428022428
26,Covid (119).png,0.3456581449397845
27,Covid (118).png,0.35646754344266623
28,Covid (49).png,0.2530099906071215
29,Covid (159).png,0.4140055367099466
30,Covid (65).png,0.4590236949937645
31,Covid (122).png,0.3319778748768722
32,Covid (175).png,0.8630897921840283
33,Covid (32).png,0.7572667782681479
34,Covid (24).png,0.06353471707437608
35,Covid (163).png,0.3518849677019087
36,Covid (134).png,0.936571357223124
37,Covid (73).png,0.828369489725048
38,Covid (143).png,0.9072219855134214
39,Covid (114).png,0.32176680244399186
40,Covid (53).png,0.37009966777408637
41,Covid (45).png,0.7719540821248272
42,Covid (2).png,0.7160293278307064
43,Covid (102).png,0.8160912656825463
44,Covid (155).png,0.8115655610929713
45,Covid (12).png,0.48237056767105047
46,Covid (86).png,0.4459114139693356
47,Covid (69).png,0.7771952323476162
48,Covid (196).png,0.9372277735075583
49,Covid (179).png,0.9154418969233784
50,Covid (180).png,0.9498532854175596
51,Covid (28).png,0.10377440852079271
52,Covid (90).png,0.45619563287768505
53,Covid (138).png,0.8658419023136247
54,Covid (74).png,0.8298619619374337
55,Covid (133).png,0.06896551724137931
56,Covid (164).png,0.42422213608654286
57,Covid (23).png,0.5118764155874325
58,Covid (35).png,0.042547148375369236
59,Covid (172).png,0.8375707154742097
60,Covid (125).png,0.3759649899198505
61,Covid (62).png,0.28519379177783516
62,Covid (19).png,0.5011570247933884
63,Covid (9).png,0.29086915594603074
64,Covid (109).png,0.8337996794436445
65,Covid (58).png,0.3685164280197255
66,Covid (148).png,0.9164761904761904
67,Covid (97).png,0.9212411430351164
68,Covid (78).png,0.8229198886483142
69,Covid (187).png,0.404397789409047
70,Covid (168).png,0.3469990283279767
