,filename,accuracy
156,Covid (126).png,0.005674429601607755
157,Covid (140).png,0.6124993074408555
158,Covid (50).png,0.04474327628361858
159,Covid (117).png,0.0
160,Covid (101).png,0.6357238023518508
161,Covid (46).png,0.6034223361163925
162,Covid (1).png,0.40563745342621094
163,Covid (11).png,0.0
164,Covid (156).png,0.04110497237569061
165,Covid (85).png,0.0
166,Covid (195).png,0.04518155270262825
167,Covid (183).png,0.0
168,Covid (93).png,0.08045816454812124
169,Covid (121).png,0.0
170,Covid (66).png,0.44352610095580963
171,Covid (89).png,0.0
172,Covid (31).png,0.6087355758929938
173,Covid (176).png,0.5501665609137056
174,Covid (199).png,0.6972246437042593
175,Covid (160).png,0.0
176,Covid (27).png,0.918077042882359
177,Covid (70).png,0.5993009215125517
178,Covid (137).png,0.6096714613533329
179,Covid (71).png,0.6615191157978336
180,Covid (136).png,0.6543530834340991
181,Covid (161).png,0.0
182,Covid (26).png,0.8998875140607424
183,Covid (30).png,0.6601464259766389
184,Covid (177).png,0.4706041845542049
185,Covid (198).png,0.694641546366528
186,Covid (120).png,0.0
187,Covid (67).png,0.7062194777414538
188,Covid (88).png,0.0
189,Covid (92).png,0.0
190,Covid (182).png,0.4795788020024167
191,Covid (194).png,0.046767307531322376
192,Covid (84).png,0.0
193,Covid (10).png,0.0
194,Covid (157).png,0.05752411865476512
195,Covid (100).png,0.6799168092314918
196,Covid (47).png,0.5758018876882466
197,Covid (51).png,0.04553307008884502
198,Covid (116).png,0.02589161648911533
199,Covid (141).png,0.6346873700263413
200,Non-Covid (170).png,0.8745357661876312
201,Non-Covid (29).png,0.7311773036472965
202,Non-Covid (127).png,0.0
203,Non-Covid (91).png,0.6473329079906425
204,Non-Covid (131).png,0.4589138534492492
205,Non-Covid (68).png,0.7559340584171284
206,Non-Covid (87).png,0.0
207,Non-Covid (166).png,0.352306182531894
208,Non-Covid (189).png,0.42251465221718454
209,Non-Covid (44).png,0.0
210,Non-Covid (13).png,0.3618826179360956
211,Non-Covid (52).png,0.6528792188821404
212,Non-Covid (25).png,0.9833828694947312
213,Non-Covid (193).png,0.9422814394146235
214,Non-Covid (72).png,0.04115087244919515
215,Non-Covid (64).png,0.9516119385130689
216,Non-Covid (33).png,0.5750554003275845
217,Non-Covid (185).png,0.0
218,Non-Covid (48).png,0.6097763048881525
219,Non-Covid (111).png,0.4872758425981814
220,Non-Covid (146).png,0.5769970354939508
221,Non-Covid (150).png,0.5651663822525598
222,Non-Covid (107).png,0.4100109179474259
223,Non-Covid (106).png,0.0
224,Non-Covid (147).png,0.5626542905105164
225,Non-Covid (110).png,0.0
226,Non-Covid (49).png,0.6822263657600891
